ne year,month,month_year,country,region,is_aggregate,visitors
2023,Feb,Feb-2023,Netherlands,Europe,False,17740
2023,Feb,Feb-2023,New Zealand,Oceania,False,4946
2023,Feb,Feb-2023,North Korea,Asia and the Pacific,False,0
2023,Feb,Feb-2023,North-East Asia,Asia and the Pacific,True,468121
2023,Feb,Feb-2023,Northern Europe,Europe,True,148123
2023,Feb,Feb-2023,Norway,Europe,False,11034
2023,Feb,Feb-2023,Oceania,Oceania,True,50319
2023,Feb,Feb-2023,Oman,Middle East,False,4672
2023,Feb,Feb-2023,Other in Africa,Africa,False,1663
2023,Feb,Feb-2023,Other in America,America,False,639
2023,Feb,Feb-2023,Other in Asia,Asia and the Pacific,False,30
2023,Feb,Feb-2023,Other in Europe,Europe,False,1479
2023,Feb,Feb-2023,Other in Middle East,Middle East,False,337
2023,Feb,Feb-2023,Other in Oceania,Oceania,False,266
2023,Feb,Feb-2023,Pakistan,Asia and the Pacific,False,6117
2023,Feb,Feb-2023,Peru,America,False,435
2023,Feb,Feb-2023,Philippines,Asia and the Pacific,False,27540
2023,Feb,Feb-2023,Poland,Europe,False,16347
2023,Feb,Feb-2023,Portugal,Europe,False,3043
2023,Feb,Feb-2023,Qatar,Middle East,False,1825
2023,Feb,Feb-2023,Romania,Europe,False,4739
2023,Feb,Feb-2023,Russian Federation,Europe,False,186103
2023,Feb,Feb-2023,Saudi Arabia,Middle East,False,7436
2023,Feb,Feb-2023,Serbia,Europe,False,1083
2023,Feb,Feb-2023,Singapore,Asia and the Pacific,False,60792
2023,Feb,Feb-2023,Slovakia,Europe,False,3212
2023,Feb,Feb-2023,Slovenia,Europe,False,1236
2023,Feb,Feb-2023,South  Africa,Africa,False,2892
2023,Feb,Feb-2023,South Asia,Asia and the Pacific,True,127299
2023,Feb,Feb-2023,South-East Asia,Asia and the Pacific,True,631430
2023,Feb,Feb-2023,Southern/Medit. Europe,Europe,True,60888
2023,Feb,Feb-2023,Spain,Europe,False,8182
2023,Feb,Feb-2023,Sri Lanka,Asia and the Pacific,False,2415
2023,Feb,Feb-2023,Sweden,Europe,False,26030
2023,Feb,Feb-2023,Switzerland,Europe,False,16862
2023,Feb,Feb-2023,Taiwan,Asia and the Pacific,False,42995
2023,Feb,Feb-2023,The United States of America,America,False,81946
2023,Feb,Feb-2023,Turkey,Europe,False,5470
2023,Feb,Feb-2023,U.A.E.,Middle East,False,4235
2023,Feb,Feb-2023,Ukraine,Europe,False,3881
2023,Feb,Feb-2023,United Kingdom,Europe,False,74775
2023,Feb,Feb-2023,Uruguay,America,False,304
2023,Feb,Feb-2023,Uzbekistan,Europe,False,3810
2023,Feb,Feb-2023,Vietnam,Asia and the Pacific,False,69730
2023,Feb,Feb-2023,Western Europe,Europe,True,210153
2023,Feb,Feb-2023,Yemen,Middle East,False,361
2023,Mar,Mar-2023,Africa,Africa,True,8647
2023,Mar,Mar-2023,America,America,True,120596
2023,Mar,Mar-2023,Argentina,America,False,2023
2023,Mar,Mar-2023,Asia and the Pacific,Asia and the Pacific,True,1506054
2023,Mar,Mar-2023,Australia,Oceania,False,51746
2023,Mar,Mar-2023,Austria,Europe,False,8841
2023,Mar,Mar-2023,Bahrain,Middle East,False,638
2023,Mar,Mar-2023,Bangladesh,Asia and the Pacific,False,10843
2023,Mar,Mar-2023,Belarus,Europe,False,1063
2023,Mar,Mar-2023,Belgium,Europe,False,6569
2023,Mar,Mar-2023,Bhutan,Asia and the Pacific,False,1474
2023,Mar,Mar-2023,Brazil,America,False,5048
2023,Mar,Mar-2023,Brunei,Asia and the Pacific,False,754
2023,Mar,Mar-2023,Bulgaria,Europe,False,1302
2023,Mar,Mar-2023,Cambodia,Asia and the Pacific,False,45202
2023,Mar,Mar-2023,Canada,America,False,22786
2023,Mar,Mar-2023,Central/Eastern Europe,Europe,True,241667
2023,Mar,Mar-2023,Chile,America,False,1250
2023,Mar,Mar-2023,China,Asia and the Pacific,False,269773
