ระยะเวลา เริ่มต้นปี มกราคม 2566 สิ้นสุดปี ธันวาคม 2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ปีฐาน (2566 = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
มุมมองข้อมูล Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
วันที่ดาวน์โหลดไฟล์ 17 กุมภาพันธ์ 2569 18:29:41น.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จังหวัด,ม.ค. 2566,ก.พ. 2566,มี.ค. 2566,เม.ย. 2566,พ.ค. 2566,มิ.ย. 2566,ก.ค. 2566,ส.ค. 2566,ก.ย. 2566,ต.ค. 2566,พ.ย. 2566,ธ.ค. 2566,ม.ค. 2567,ก.พ. 2567,มี.ค. 2567,เม.ย. 2567,พ.ค. 2567,มิ.ย. 2567,ก.ค. 2567,ส.ค. 2567,ก.ย. 2567,ต.ค. 2567,พ.ย. 2567,ธ.ค. 2567,ม.ค. 2568,ก.พ. 2568,มี.ค. 2568,เม.ย. 2568,พ.ค. 2568,มิ.ย. 2568,ก.ค. 2568,ส.ค. 2568,ก.ย. 2568,ต.ค. 2568,พ.ย. 2568,ธ.ค. 2568,,,,
เพชรบูรณ์,100.7,100.4,100.1,100.4,100.3,100.6,99.8,100.3,99.7,99.4,99.3,99.2,99.3,99.7,99.6,100.5,102.1,101.1,101.3,101.3,100.6,100.4,100.4,100.2,100.5,100.5,100.2,100,100.5,100.7,100,100.2,99.7,99.8,99.9,100.8,,,,
ราชบุรี,100.8,100.6,100.1,100.3,99.3,99.8,99.9,100.5,100.2,99.9,99.5,99.2,99.4,99.5,99.4,100.3,100.9,100.7,100.8,101.5,101.5,101.4,101.1,101.2,101.2,101.3,100.9,100.9,101.3,101,100.6,100.5,100.6,100.2,100.7,100.7,,,,
กาญจนบุรี,100,100.4,99.7,100.2,99.4,100,99.8,100.8,100.4,99.9,99.8,99.5,99.7,99.9,100,100.8,101.6,101.1,101.1,101.7,101.7,101.5,101.3,100.9,100.9,101,100.8,100.6,100.4,100.2,99.8,99.8,99.9,99.8,100,100.1,,,,
สุพรรณบุรี,101,100.8,100.2,100.4,99.5,99.7,99.5,100.4,100,99.9,99.5,99,99,99.3,99.4,100.8,101.8,101,100.9,101.1,100.7,100.3,100.2,100,100.1,100,99.9,99.6,99.8,99.5,99.2,99.1,99.1,99.1,99.1,99.4,,,,
นครปฐม,100.3,99.9,100,100.4,99.4,100.2,100.2,100.6,100.5,99.8,99.6,99.4,99.5,99.9,99.8,100.7,101.2,101,101.8,102.2,101.5,101.5,101.3,101.5,101.6,101.6,101.7,101.2,101.4,100.9,100.4,100.2,100,100,99.9,100.5,,,,
สมุทรสาคร,100.8,100.6,100.2,100.1,99.3,99.9,100.2,100.5,99.9,99.6,99.6,99.3,99.5,99.7,99.7,100.7,100.9,100.5,100.7,100.8,100.7,100.8,100.6,100.7,101,100.5,100.4,100.2,100.3,100.1,100,99.8,99.8,99.8,100.1,100.1,,,,
สมุทรสงคราม,100.8,100.5,100,100.4,99.6,100.1,99.7,100.2,99.9,99.8,99.8,99.3,99.4,99.7,99.4,100.4,101,100.8,100.7,101.1,100.2,100.1,100,99.8,99.7,99.8,100,99.6,99.8,99.7,99.4,99,99.2,99.2,99.3,99.6,,,,
เพชรบุรี,100,100.2,99.9,100.1,99.2,100,100.1,100.8,100.5,100.2,100,99.5,99.5,99.9,99.8,100.7,101.1,100.7,100.8,100.8,100.5,100.5,100.6,100.4,100.5,100.2,100.2,100.2,100.6,100.6,100.3,100.1,100.1,100.3,100.2,100.3,,,,
ประจวบคีรีขันธ์,100.8,100.5,100.3,100.4,99.6,100,100,100.4,100,99.8,99.5,99.2,99.3,99.7,99.6,100.5,101.1,100.9,101,101.1,101.1,100.8,100.6,100.5,100.7,100.5,100.4,100.2,100.2,99.9,99.6,99.5,99.5,99.3,99.6,99.7,,,,
นครศรีธรรมราช,100.7,100.5,100.4,100.5,99.6,99.9,100.1,100.5,100.3,99.5,99.4,98.9,98.6,98.9,99,99.9,100.3,99.9,100.3,100.4,100.2,100,100.1,100.2,100.2,100.1,100.2,100.2,101.3,100.4,100.1,100.2,100.1,99.7,99.6,99.9,,,,
